2008.10.01,00:00,1.41130,1.41740,1.39750,1.40080,25887
2008.10.02,00:00,1.40090,1.40240,1.37470,1.38000,30688
2008.10.03,00:00,1.38010,1.39060,1.37020,1.37710,29305
2008.10.06,00:00,1.36370,1.36780,1.34430,1.34830,38002
2008.10.07,00:00,1.34860,1.37430,1.34830,1.36170,37002
2008.10.08,00:00,1.36160,1.37560,1.35440,1.36310,44563
2008.10.09,00:00,1.36320,1.37850,1.35770,1.35980,34179
2008.10.10,00:00,1.35970,1.36490,1.32580,1.34080,36776
2008.10.13,00:00,1.35800,1.36820,1.34560,1.35960,27769
2008.10.14,00:00,1.35950,1.37680,1.35900,1.36190,31599
2008.10.15,00:00,1.36200,1.36870,1.34490,1.34590,32220
2008.10.16,00:00,1.34610,1.35380,1.33450,1.34800,39096
2008.10.17,00:00,1.34790,1.35170,1.33860,1.34100,24660
2008.10.20,00:00,1.34050,1.35300,1.32870,1.33300,22791
2008.10.21,00:00,1.33310,1.33530,1.30510,1.30540,24565
2008.10.22,00:00,1.30550,1.30770,1.27370,1.28250,33308
2008.10.23,00:00,1.28260,1.30040,1.27270,1.29620,35828
2008.10.24,00:00,1.29630,1.29730,1.24960,1.26220,46417
2008.10.27,00:00,1.25760,1.26850,1.23340,1.24610,37642
2008.10.28,00:00,1.24630,1.28330,1.23290,1.28160,36331
2008.10.29,00:00,1.28150,1.29900,1.26260,1.29510,39917
2008.10.30,00:00,1.29500,1.32900,1.28050,1.28750,39059
2008.10.31,00:00,1.28740,1.28940,1.26670,1.27250,34941
2008.11.03,00:00,1.27690,1.28970,1.25750,1.25830,27308
2008.11.04,00:00,1.25840,1.30480,1.25250,1.29940,35481
2008.11.05,00:00,1.29930,1.31150,1.27920,1.29270,39171
2008.11.06,00:00,1.29300,1.29550,1.26750,1.26780,40383
2008.11.07,00:00,1.26770,1.28500,1.26530,1.27170,28134
2008.11.10,00:00,1.28160,1.29270,1.27180,1.27500,31787
2008.11.11,00:00,1.27490,1.28000,1.25060,1.25110,31092
2008.11.12,00:00,1.25100,1.26310,1.24360,1.24530,40134
2008.11.13,00:00,1.24540,1.28540,1.23890,1.27860,43352
